"year_week" "ranking" "change_grp" "change_val" "title" "artist" "gaon_index" "production" "distribution"
"202204" "93" "up" "3" "별빛 같은 나의 사랑아" "임영웅" 18144032 "티조컬처앤컨텐츠, 뉴에라프로젝트, 물고기뮤직   " "Kakao Entertainment"
"202204" "94" "new" "new" "ZOOM" "제시(Jessi)" 17975886 "피네이션" "Kakao Entertainment"
"202204" "95" "down" "18" "언덕나무" "이승윤" 17769792 "모스트콘텐츠" "NHN벅스"
"202204" "96" "up" "82" "우연히 봄" "로꼬 (LOCO), 유주 (YUJU)" 17657851 "도너츠뮤직" "Kakao Entertainment"
"202204" "97" "up" "5" "HERO" "임영웅" 16911736 "티조컬처앤컨텐츠, 뉴에라프로젝트" "Kakao Entertainment"
"202204" "98" "new" "new" "북극성 (Never Goodbye)" "NCT DREAM" 16472879 "SM Entertainment" "Dreamus"
"202204" "99" "down" "21" "취기를 빌려 (취향저격 그녀 X 산들)" "산들" 16134777 "TOON STUDIO" "Kakao Entertainment"
"202204" "100" "down" "24" "추억은 만남보다 이별에 남아" "정동하" 16117323 "뮤직원 컴퍼니" "Kakao Entertainment"
"202204" "101" "down" "12" "꽃 (With 김민석 of 멜로망스)" "박봄" 16115272 "디네이션" "지니뮤직, Stone Music Entertainment"
"202204" "102" "up" "6" "끝사랑" "임영웅" 16092579 "TV CHOSUN, 쇼플레이" "Kakao Entertainment"
"202204" "103" "down" "42" "흰눈" "먼데이 키즈 (Monday Kiz)" 15369742 "프로젝트 리본" "Warner Music"
"202204" "104" "down" "23" "오늘도 빛나는 너에게 (To You My Light) (Feat.이라..." "마크툽 (Maktub)" 15245659 "MAKTUB Company" "Warner Music"
"202204" "105" "new" "new" "Darl+ing" "세븐틴" 14833544 "플레디스" "YG PLUS"
"202204" "106" "up" "13" "Light Switch" "Charlie Puth" 14622187 "Atlantic Records UK" "Warner Music"
"202204" "107" "down" "25" "밝게 빛나는 별이 되어 비춰줄게" "송이한" 14417646 "뮤직디자인" "Kakao Entertainment"
"202204" "108" "up" "23" "Loving You Girl (Feat. Hkeem)" "Peder Elias" 14255596 "Columbia" "Sony Music"
"202204" "109" "up" "11" "Bk Love" "임영웅" 14122369 "TV CHOSUN, 쇼플레이" "Kakao Entertainment"
"202204" "110" "down" "3" "Peaches (Feat. Daniel Caesar, Giveon)" "Justin Bieber" 14002180 "RBMG/Def Jam" "Universal Music"
"202204" "111" "new" "new" "정이라고 하자 (Feat. 10CM)" "BIG Naughty (서동현)" 13963516 "H1GHR MUSIC" "Kakao Entertainment"
"202204" "112" "up" "HOT" "Because Of You" "Ne-Yo" 13940177 "Universal Music" "Universal Music"
"202204" "113" "new" "new" "DICE" "온유 (ONEW)" 13898602 "SM Entertainment" "Dreamus"
"202204" "114" "down" "1" "2002" "Anne-Marie" 13878972 "Atlantic Records UK" "Warner Music"
"202204" "115" "new" "new" "꽃 길" "BIGBANG (빅뱅)" 13314855 "YG Entertainment" "YG PLUS"
"202204" "116" "down" "42" "네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY..." "BE`O (비오)" 13249411 "Stone Music Entertainment" "지니뮤직"
"202204" "117" "down" "29" "작은 것들을 위한 시 (Boy With Luv) (Feat. Hals..." "방탄소년단" 13112080 "BIGHIT MUSIC / HYBE" "YG PLUS"
"202204" "118" "new" "new" "부럽지가 않어" "장기하" 12646636 "두루두루 아티스트 컴퍼니" "Kakao Entertainment"
"202204" "119" "up" "HOT" "Every Second" "Mina Okabe" 12628420 "Universal Music" "Universal Music"
"202204" "120" "down" "71" "잊을 수 있을까" "노을" 12603533 "말하는" "Warner Music"
"202204" "121" "down" "54" "손을 잡는다거나, 같이 걷는다거나" "적재" 12591363 "바이포엠스튜디오" "Warner Music"
"202204" "122" "down" "25" "잊었니" "임영웅" 12425341 "TV CHOSUN, 쇼플레이" "Kakao Entertainment"
"202204" "123" "new" "new" "사랑인가 봐 (Acoustic Ver.)" "김세정" 12249909 "플렉스엠" "Kakao Entertainment"
"202204" "124" "down" "32" "그날에 나는 맘이 편했을까" "이예준" 12236012 "뮤니콘" "Kakao Entertainment"
"202204" "125" "down" "3" "밤편지" "아이유 (IU)" 12170952 "페이브엔터테인먼트,카카오 M" "Kakao Entertainment"
"202204" "126" "down" "46" "불협화음 (Feat. AKMU) (Prod. GRAY)" "Mudd the student" 12123628 "Stone Music Entertainment" "지니뮤직"
"202204" "127" "down" "12" "Queendom" "레드벨벳(Red Velvet)" 11993966 "SM Entertainment" "Dreamus"
"202204" "128" "new" "new" "With you" "지민, 하성운" 11933219 "냠냠엔터테인먼트" "지니뮤직, Stone Music Entertainment"
"202204" "129" "down" "45" "Wake Up (Prod. 코드 쿤스트)" "개코 , Ourealgoat (아우릴고트) , SINCE , 안병웅 , Tabber , 조광일" 11796675 "Stone Music Entertainment" "지니뮤직"
"202204" "130" "down" "31" "Savage Love (Laxed - Siren Beat) (BTS ..." "Jawsh 685, Jason Derulo, BTS" 11789479 "Columbia" "Sony Music"
"202204" "131" "down" "33" "비가 오는 날엔 (2021)" "헤이즈 (Heize)" 11596761 "PLAYLIST" "지니뮤직, Stone Music Entertainment"
"202204" "132" "up" "66" "나만, 봄" "볼빨간사춘기" 11595475 "쇼파르엔터테인먼트" "Kakao Entertainment"
"202204" "133" "up" "24" "너의 번호를 누르고 (Prod. 영화처럼)" "#안녕" 11592059 "시애틀뮤직" "Warner Music"
"202204" "134" "down" "11" "에잇 (Prod.&Feat. SUGA of BTS)" "아이유 (IU)" 11564128 "EDAM엔터테인먼트" "Kakao Entertainment"
"202204" "135" "down" "14" "Lovesick Girls" "BLACKPINK" 11520654 "YG Entertainment" "YG PLUS"
"202204" "136" "down" "25" "Tiny Riot" "Sam Ryder" 11395733 "Parlophone UK" "Warner Music"
"202204" "137" "down" "51" "쉬어 (Feat. MINO) (Prod. GRAY)" "아넌딜라이트(Anandelight) , unofficialboyy , BE′O (비오) , 지구인 , Mudd the student" 11249016 "Stone Music Entertainment" "지니뮤직"
"202204" "138" "down" "53" "그게 더 편할 것 같아 (N번째 연애 X 멜로망스)" "멜로망스(Melomance)" 11197211 "TOON STUDIO" "Kakao Entertainment"
"202204" "139" "new" "new" "친구라도 될 걸 그랬어" "HYNN(박혜원)" 11021089 "+기억 프로젝트" "YG PLUS"
"202204" "140" "down" "47" "DM" "프로미스나인" 11005532 "플레디스" "YG PLUS"
